stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000316152,9606.ENSP00000361400,SFTPC,SFTPA2,9606,0.993,0.0,0.0,0.0,0.563,0.0,0.5,0.97
9606.ENSP00000316152,9606.ENSP00000499683,SFTPC,SFTPB,9606,0.999,0.0,0.0,0.0,0.824,0.0,0.7,0.99
9606.ENSP00000316152,9606.ENSP00000397082,SFTPC,SFTPA1,9606,0.999,0.0,0.0,0.0,0.855,0.0,0.5,0.99
9606.ENSP00000346879,9606.ENSP00000361366,NKX2-1,SFTPD,9606,0.473,0.0,0.0,0.0,0.149,0.045,0.0,0.404
9606.ENSP00000346879,9606.ENSP00000361400,NKX2-1,SFTPA2,9606,0.621,0.0,0.0,0.0,0.13,0.045,0.0,0.581
9606.ENSP00000346879,9606.ENSP00000397082,NKX2-1,SFTPA1,9606,0.812,0.0,0.0,0.0,0.27,0.045,0.0,0.752
9606.ENSP00000346879,9606.ENSP00000499683,NKX2-1,SFTPB,9606,0.951,0.0,0.0,0.0,0.519,0.0,0.0,0.904
9606.ENSP00000361366,9606.ENSP00000364210,SFTPD,AGER,9606,0.776,0.0,0.0,0.0,0.488,0.0,0.0,0.582
9606.ENSP00000361366,9606.ENSP00000361400,SFTPD,SFTPA2,9606,0.831,0.0,0.0,0.105,0.461,0.0,0.4,0.484
9606.ENSP00000361366,9606.ENSP00000397082,SFTPD,SFTPA1,9606,0.851,0.0,0.0,0.104,0.573,0.287,0.4,0.228
9606.ENSP00000361366,9606.ENSP00000499683,SFTPD,SFTPB,9606,0.985,0.0,0.0,0.0,0.501,0.0,0.5,0.946
9606.ENSP00000361400,9606.ENSP00000364210,SFTPA2,AGER,9606,0.623,0.0,0.0,0.0,0.525,0.0,0.0,0.24
9606.ENSP00000361400,9606.ENSP00000397082,SFTPA2,SFTPA1,9606,0.956,0.0,0.0,0.047,0.427,0.0,0.9,0.3
9606.ENSP00000361400,9606.ENSP00000499683,SFTPA2,SFTPB,9606,0.979,0.0,0.0,0.0,0.426,0.0,0.5,0.935
9606.ENSP00000364210,9606.ENSP00000397082,AGER,SFTPA1,9606,0.722,0.0,0.0,0.0,0.579,0.0,0.0,0.366
9606.ENSP00000364210,9606.ENSP00000499683,AGER,SFTPB,9606,0.807,0.0,0.0,0.0,0.686,0.0,0.0,0.412
9606.ENSP00000397082,9606.ENSP00000499683,SFTPA1,SFTPB,9606,0.998,0.0,0.0,0.0,0.77,0.0,0.5,0.985
9606.ENSP00000236959,9606.ENSP00000305449,ATIC,CNNM3,9606,0.633,0.094,0.0,0.0,0.049,0.0,0.585,0.095
9606.ENSP00000236959,9606.ENSP00000419851,ATIC,GMPS,9606,0.921,0.231,0.0,0.0,0.486,0.0,0.0,0.817
9606.ENSP00000236959,9606.ENSP00000257770,ATIC,NT5E,9606,0.937,0.0,0.0,0.0,0.058,0.0,0.9,0.392
